================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   i   i   o   o   o   o   o   o   r 
 in 1e-09 sec | l   s   n   n   n   n   n   n   u   u   u   u   u   u   a 
              | k   t   v   v   v   v   v   v   t   t   t   t   t   t   n 
              |         _   _   _   _   _   _   p   p   p   p   p   p   d 
              |         i   i   i   i   i   i   u   u   u   u   u   u   o 
              |         n   n   n   n   n   n   t   t   t   t   t   t   m 
              |         p   p   p   p   p   p   _   _   _   _   _   _   _ 
              |         u   u   u   u   u   u   5   5   5   5   5   5   s 
              |         t   t   t   t   t   t   _   _   _   _   _   _   e 
              |         s   s   s   s   s   s   0   0   0   0   0   0   e 
              |         _   _   _   _   _   _   _   _   _   _   _   _   d 
              |         5   5   5   5   5   5   5   4   3   2   1   0     
              |         _   _   _   _   _   _                             
              |         0   0   0   0   0   0                             
              |         _   _   _   _   _   _                             
              |         5   4   3   2   1   0                             
================================================================================
     281900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     281920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     281940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     281960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     281980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     282980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     283980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     284980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     285980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     286980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     287980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     288960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
