====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
      23200.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      23202.8 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23280.0 | 0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23360.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23362.4 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      23363.8 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23440.0 | 0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23520.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23600.0 | 0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23680.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23760.0 | 0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      23840.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      23920.0 | 0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      24000.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      24002.9 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      24005.4 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24008.8 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24080.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24160.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24240.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24320.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24400.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24480.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24560.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24640.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      24720.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      24800.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      24802.1 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      24880.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      24960.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      24963.1 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      24963.5 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25040.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25120.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25200.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25280.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25360.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25440.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25520.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25600.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      25680.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      25760.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      25763.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      25763.6 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      25840.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      25920.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      25922.6 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      25922.7 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      25922.8 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      25924.3 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      25924.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26000.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26080.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26082.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26083.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26084.7 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26085.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26160.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26240.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26243.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26243.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26244.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26245.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26320.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26400.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26403.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26404.8 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26480.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26560.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26563.3 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26563.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26566.1 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26566.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26640.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26720.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26721.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26723.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26724.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26725.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26800.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26880.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26883.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26884.8 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      26960.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27040.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27043.3 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27043.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27046.1 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27046.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27120.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27200.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27203.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27203.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27204.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27205.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27280.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27360.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27363.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27364.8 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27440.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27520.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27523.3 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27523.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27526.1 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27600.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27680.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27680.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27683.3 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27683.5 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27687.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27760.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27840.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      27842.8 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      27920.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28000.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28002.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      28003.8 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28080.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28160.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28240.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28320.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28400.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28480.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      28560.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      28640.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      28642.9 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      28645.4 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      28648.4 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      28649.5 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      28720.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      28800.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      28880.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      28960.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      29040.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      29120.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      29200.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      29280.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      29360.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      29440.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      29442.1 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      29520.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      29600.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      29603.1 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      29603.5 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      29680.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      29760.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      29840.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      29920.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      30000.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      30080.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      30160.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      30240.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      30320.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      30400.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      30403.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      30403.6 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30480.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30560.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30562.2 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30562.6 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      30562.8 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30563.1 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30563.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30563.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30564.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30640.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30720.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30722.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30723.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30724.7 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30725.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30800.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30880.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30883.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30883.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30884.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30885.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      30960.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31040.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31043.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31044.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31120.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31200.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31203.3 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31203.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31206.1 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31206.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31280.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31360.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31361.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31363.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31364.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31365.2 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31440.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31520.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31523.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31524.8 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31600.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31680.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31683.3 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31683.9 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31686.1 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31686.4 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31760.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31840.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      31843.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
